naam,QID,Facebook_ID,image,commons_category,LinkedIn_ID,Twitter_username,geboortejaar,sterfjaar
Georges De Moor,Q5546790,,,,,,1953,
Roeland De Moor,Q55232685,,,,,,1962,
Stefaan De Neve,Q55232611,,,,stefaan-de-neve-47a84527,,1966,
Wilfried De Neve,Q88104807,,,,,,1955,
Dulce De Oliveira,,,,,,,1955,
Anne De Paepe,Q13429701,,Anne De Paepe.jpg,Anne De Paepe,,,1955,
Niels De Pauw,,,,,,,1944,2018
Guy De Pauw,Q55233487,,,,,,1962,
Patrick De Pelsmacker,Q55233641,,,,,,1957,
Martin De Prycker,Q2678890,,,,,,1955,
Rudi De Raedt,Q3446654,,,,,,1961,
Jacques De Reuck,Q55232828,,,,,,1942,
André De Rick,,,,,,,1947,
Jean De Ries,,,,,,,,2001
Hilde de Rooster,Q91561270,,,,,,1969,
Brice De Ruyver,Q42299520,,,,,,1954,2017
Michel De Samblanx,Q15879354,,,,,,1950,
Jean De Schepper,Q88939724,,,,,,1958,
Geert De Schutter,Q55233628,,,,,,1967,
Florimond De Smedt,Q79896787,,,,,,1950,
Stefaan C De Smedt,Q39811098,,,,,,1967,
Herbert De Smet,Q88400304,,,,,,1965,
Marc D de Smet,Q59697263,,,,,,,
René De Smet,,,,,,,,
Stefaan De Smet,Q60141850,,,,,,1963,
Geert De Soete,Q55233401,,,,,,1957,
Filip De Somer,Q55233299,,,,,,1960,
Bart De Spiegeleer,Q40320733,,,,,,1959,
An De Sutter,Q86380695,,,,,,1958,
Johan De Sutter,Q61124584,,,,,,1968,
Petra De Sutter,Q17428148,petra.desutter.1,Petra de Sutter at ILGA conference 2018 Political Town Hall 06 (cropped).jpg,Petra de Sutter,petradesutter,pdsutter,1963,
Petra De Sutter,Q17428148,pdsutter,,,,,,
William De Vijlder,Q55232324,,,,,,1960,
Alexis De Vos,Q55232722,,,,,,1950,
Filip Y F L de Vos,Q80954335,,,,,,1965,
Jaak De Vos,Q55231991,,,,,,1950,
Hendrik Jozef de Vos,Q42853875,,,,,,1945,
Martine de Vos,Q30248010,,,,,,1953,
Paul De Vos,Q7150193,,,,,,1950,
An S De Vriese,Q55362946,,,,,,,
Dirk De Waele,Q55232359,,,,,,1954,
Jan J De Waele,Q64138881,,,,,,1969,
Carlos De Wagter,Q42542408,,,,,,1956,
Bruno De Wever,Q13445806,,Bruno De Wever 2011.jpg,Bruno De Wever,,,1960,
André Gerard de Wilde,Q84594443,,,,,,,2002
Lieven De Wilde,Q90736901,,,,,,1957,
Daniel De Wolf,Q38544502,,,,,,1959,
Alain De Wulf,,,,,,,1961,
Robert De Wulf,Q55232668,,,,,,1955,
Daniël De Zutter,Q55233387,,,,,,1953,
Lieven De Zutter,Q87731753,,,,,,1952,
Koenraad Debackere,Q13744598,,,,,,1961,
Pierre Debergh,,,,,,,1944,
Dirk Deboutte,Q55232994,,,,,,1946,
Rik Debruyckere,Q55232656,,,,,,1962,
Anja Declercq,Q42739044,,,,,,,
Wim Declercq,Q87768596,,,,,,1961,
Tom Decorte,Q55232126,,,,,,1969,
Christiaan Decoster,Q96463342,,,,,,1950,
Wilfrida Decraemer,Q21395013,,,,,,1950,
Freddy Decreus,Q52184802,,,,,,1949,
Johan Decruyenaere,Q92511801,,,,,,1958,
