volledige naam,QID,facebook,social media followers,image,commons,linkedin,twitter,gemeente,functie,partij
Adeline Blancquaert,Q64706424,,,Adeline Blancquaert - 2019.jpg,,,A_Blancquaert,,,Vlaams-Belang
Adrian De Weerdt,,,,,,,,Edegem,,CD&V
Agnes Abts,,,,,,,,Bierbeek,Lid van de Raad voor Maatschappelijk Welzijn,
Agnes Bruyninckx-Vandenhoudt,Q2826924,,,,,,,Brugge,Gemeenteraadslid,
Ahmet Koç,Q17381366,,,,,,,Limburg,Provincieraadslid,
Ahmet Yildirim,,,,,,,,Zele,Gemeenteraadslid,
Aïssatou Cissé,,,,,,,,Borgerhout,,Vooruit
Alain DE COSTER,,,,,,,,Koksijde,,Koksijde Vooruit
Alain Dumont,,,,,,,,Menen,Gemeenteraadslid,
Alain Top,Q5237918,,,,,,,Harelbeke,Burgemeester,sp.a/Groen
Albert Mariën,Q25621658,,,,,,,Boechout,Gemeenteraadslid,GEMEENTEBELANGEN
Albert Palmers,,,,,,,,Heusden-Zolder,Gemeenteraadslid,Nieuw HZ
Albert Vandezande,,,,,,,,Oud-Heverlee,Gemeenteraadslid,FUSIEBELANGEN
Alec Lamberts,,,,,,,,Temse,,TESAMEN
Alexander Wouters,,,,,,,,,,CD&V
Alfons Christiaensen,,,,,,,,Zoersel,Lid van de Raad voor Maatschappelijk Welzijn,
Alfons Matthys,,,,,,,,Aarschot,,CD&V
An Bogaert,,,,,,,,Horebeke,Lid van de Raad voor Maatschappelijk Welzijn,
An Boterman,,,,,,,,Waarschoot,Lid van de Raad voor Maatschappelijk Welzijn,
An Caerts,,,,,,,,Leopoldsburg,,CD&V
An Casteleyn,,,,,,,,Oostende,,CD&V
An Christiaens,Q17496898,anchristiaenstongeren,1281,An Christiaens.jpg,,,antongeren,Tongeren,Burgemeester,CD&V
André Decoster,,,,,,,,Gistel,Gemeenteraadslid,
Andre Degroote,,,,,,,,Avelgem,,CD&V
André De Groote,,,,,,,,Destelbergen,,
André Gantman,Q2228351,,,,,,,Antwerpen,,N-VA
André Govaerts,,,,,,,,Bekkevoort,Gemeenteraadslid,Open VLD
André Peeters,Q2675422,,,,,,,Aarschot,Burgemeester,CD&V
André Peters,,,,,,,,Wezembeek-Oppem,,LB-UNION
André Stevens,,,,,,,,Lochristi,,
André Uytterhoeven,,,,,,,,Putte,Gemeenteraadslid,Open VLD
André Van Den Steen,,,,,,,,Ninove,,Open VLD
André Van de Putte,,,,,,,,Kraainem,Gemeenteraadslid,
An Fremout,,,,,,,,Zomergem,Gemeenteraadslid,
An Geets,,,,,,,,Oud-Heverlee,,Onafhankelijk
An Haesebeyt,,,,,,,,Oosterzele,Lid van het Bijzonder Comité voor de Sociale Dienst,Open Vld plus
Anita Moens,,,,,,,,Willebroek,,Vooruit
An Kortleven,,,,,,,,Lommel,Lid van het Bijzonder Comité voor de Sociale Dienst,
An Lenaerts,,,,,,,,Balen,,CD&V
An Lovato,,,,,,,,Lennik,,Groen
Anna Touré,,,,,,,,Antwerpen,Districtsraadslid,Groen
Ann Baptist,,,,,,,,Genk,Gemeenteraadslid,N-VA
Ann De Martelaer,Q21993861,ann.demartelaer,,Ann De Martelaer.jpg,,anndemartelaer,,Vlaams-Brabant,Provincieraadslid,
Ann De Smedt,,,,,,,,Boom,,N-VA
Ann De Smet,,,,,,,,Zottegem,,CD&V
Anneke Matthys,,,,,,,,Merelbeke,,
Anneleen Van Bossuyt,Q18755697,,5612,,,,anneleen_vb,Gent,Lid van de Raad voor Maatschappelijk Welzijn,N-VA
Annelies Desmet,,,,,,,,Herne,Gemeenteraadslid,CD&V
Annelies Smets,,,,,,,,,,NV-A
Annelies Storms,Q2307059,,,,,,,Gent,,Vooruit
Anne Maertens,,,,,,,,Knokke-Heist,Gemeenteraadslid,N-VA
Anne-Marie Hoste,,,,,,,,Tielt,Lid van de Raad voor Maatschappelijk Welzijn,
Anne Mertens,,,,,,,,Merelbeke,Gemeenteraadslid,
Annemie Peeters,,,,,,,,Waasmunster,Lid van het Bijzonder Comité voor de Sociale Dienst,
Annemie Turtelboom,Q454893,ATurtelboom,32051,Annemie-turtelboom-1379350142.jpg,,,ATurtelboom,Antwerpen,,Open Vld
Anne Pattyn,,,,,,,,Knokke-Heist,,Fractie Gemeentebelangen
Anne Peeters,,,,,,,,Bornem,,Iedereen Bornem
Annette Palmers,,,,,,,,Heusden-Zolder,,CD&V
Annette Vogels,,,,,,,,Stekene,,Gemeentebelangen
Anne Vandeputte,,,,,,,,Lo-Reninge,,INSPRAAK
Anne Vincent,,,,,,,,Sint-Genesius-Rode,,
Ann Goethals,,,,,,,,Kuurne,Gemeenteraadslid,
Annick De Smet,,,,,,,,Turnhout,,sp.a
Annick Lambrecht,Q17836281,,,Annick Lambrecht.jpg,,,,Brugge,,Vooruit Brugge
Annick Ponthier,Q2851594,,,,,,AnnickPonthier,Bilzen,,VLAAMS BELANG
Annie Mathieu,,,,,,,,Sint-Pieters-Leeuw,,PF
Annik Olbrechts,,,,,,,,Haacht,,
Ann Martens,,,,,,,,Wingene,Lid van de Raad voor Maatschappelijk Welzijn,
Ann Soete,,,,,,,,Brugge,,Open VLD Plus
Ann Stevens,,,,,,,,Geraardsbergen,Lid van het Bijzonder Comité voor de Sociale Dienst,Open Vld
Ann Trappers,,,,,,,,Aarschot,Lid van de Raad voor Maatschappelijk Welzijn,Groen
Ann Van de Steen,Q15870043,,,,,,,Aalst,,LijstA
Ann Vanheste,Q2850424,,,,,,,De Panne,Burgemeester,DAS
Ann Vansteenkiste,Q2602521,,,,,,,Houthulst,Burgemeester,CD&V Plus
Ann Vervoort,,,,,,,,Heist-op-den-Berg,Lid van het Bijzonder Comité voor de Sociale Dienst,eta+
An Peeters,,,,,,,,Olen,,N-VA
An Poot,,,,,,,,Mechelen,,CD&V
An-Sofie D'Hondt,,,,,,,,Lede,,Groen
An Speeckaert,,,,,,,,Sint-Pieters-Leeuw,,CD&V
An Steppé,,,,,,,,Opwijk,Lid van het Bijzonder Comité voor de Sociale Dienst,
An Stokmans,,,,,,,,Kapellen,,Open VLD
An Stroobandt,,,,,,,,De Pinte,Lid van het Bijzonder Comité voor de Sociale Dienst,Ruimte
An Stuyck,,,,,,,,Wijnegem,,dorpspartij durf!
Anthony Dumarey,Q72099709,,,,,,,Oudenburg,Burgemeester,Open Vld
Antoine Denert,Q1837125,,,Denert nv a.jpg,Antoine Denert,,,Kruibeke,,D.E.N.E.R.T.
Antoine Pauwels,,,,,,,,Maldegem,,
Anton Geerts,,,,,,,,Antwerpen,Districtsraadslid,
Antonio Ventura,,,,,,,,Houthalen-Helchteren,,sp.a-Groen-Plus
Antoon De Baets,,,,,,,,Wachtebeke,,ANDERS
An Vandersteene,,,,,,,,Kortrijk,,
An Vermant,,,,,,,,Niel,,Open Vld
An Vervliet,,,,,,,,Oost-Vlaanderen,,N-VA
An Werst,,,,,,,,Galmaarden,,N-VA
An Wouters,,,,,,,,Lubbeek,,N-VA
An  Wouters,,,,,,,,Rijkevorsel,,N-VA
Arnold d'Oreye de Lantremange,Q2768000,,,,,,,Kraainem,,N-VA
Arnold Stael,,,,,,,,Gistel,,CD&V
Arnold Wittenberg,,,,,,,,Hoogstraten,,HOOGSTRATEN LEEFT
Arthur Van Laethem,,,,,,,,Lennik,Lid van de Raad voor Maatschappelijk Welzijn,
August Diels,,,,,,,,Nijlen,Gemeenteraadslid,Onafhankelijk
Auguste Simon,,,,,,,,Tongeren,,Open Vld
Augustin Feyens,,,,,,,,Kampenhout,Lid van het Bijzonder Comité voor de Sociale Dienst,Open VLD
August Mels,,,,,,,,Lokeren,Gemeenteraadslid,
August Michiels,,,,,,,,Haaltert,Gemeenteraadslid,
Axel Weydts,Q18818891,,,Axel Weydts.jpg,,,,Kortrijk,,Sp.a
Barbara Steeman,Q41779962,,,,,,,Lokeren,Gemeenteraadslid,
Bart Caron,Q2398086,bart.caron,3530,Bart Caron.jpg,,,bartcaron,Kortrijk,Gemeenteraadslid,
Bart Claes,,,,,,,,Ham,,Vlaams Belang
Bart Craane,Q98212942,,,,,,,Beerse,Burgemeester,CDE-Vlim.be
Bart De Keyser,,,,,,,,Hamme,Gemeenteraadslid,Groen
Bart DeKoning,,,,,,,,Moorslede,,PRO
Bart De Nijn,Q2344205,,,Bart De Nijn.png,,,,Mechelen,,N-VA
Bart De Schutter,,,,,,,,Puurs-Sint-Amands,,L.O.S.
Bart Dewaele,,,,,,,,Zwevegem,,CD&V
Bart De Wever,Q336599,,177846,BartDeWever.jpg,Bart De Wever,,Bart_DeWever,Antwerpen,Burgemeester,N-VA
Bart Dobbelaere,,,,,,,,Aalter,,Groen
Bart Dochy,Q2379319,,,Bart Dochy (8).jpg,Bart Dochy,,,Ledegem,Burgemeester,CD&V/VD
Bart Fransen,,,,,,,,Zutendaal,Gemeenteraadslid,Nieuw ZVP
Bart Goris,,,,,,,,Berendrecht-Zandvliet-Lillo,,PRO2040
Bart Gruyters,Q40165567,,,,,,,Herk-de-Stad,Burgemeester,CD&V
Bart Halewyck,Q2321995,,,,,,,Gistel,Burgemeester,CD&V
Bartholomeus Hermans,,,,,,,,Oud-Turnhout,,Groen
Bart Huybrechts,,,,,,,,Wijnegem,,VLAAMS BELANG
Bart Laeremans,Q2885864,,,,,,,Grimbergen,Burgemeester,Vlaams Belang
